Sergiy Kolodyazhnyy
User Input: 11 13 20 25 34 41 
Game# Rolls      Match 3    Match 4    Match 5    Payout    
1 : 11366903   331567     22631      529        4976220   
2 : 3103730    90468      6279       153        1371630   
3 : 6909764    201225     13501      291        2978300   
4 : 6652683    193933     13016      307        2897130   
5 : 1202868    34821      2537       44         519060    
6 : 9821277    285482     19465      454        4282070   
7 : 5475779    159680     10849      237        2376250   
8 : 12807005   373855     25422      613        5622650   
9 : 6809572    198739     13451      337        2996940   
10: 1817271    52954      3606       84         793840    
Average values:
	6596685   	192272    	13075     	304       	2881409   
