Game# Rolls      Match 3    Match 4    Match 5    Payout    
1 : 7366026    213667     14760      313        3187670   
2 : 7027934    204471     14053      285        3032360   
3 : 5360917    155998     10742      228        2325080   
4 : 10643778   309764     21003      504        4651790   
5 : 3908225    114075     7661       152        1675800   
6 : 2347405    68555      4722       114        1035650   
7 : 2182544    63529      4296       110        960090    
8 : 680140     19766      1333       36         300310    
9 : 5395723    156513     10877      251        2359980   
10: 1865254    54530      3782       84         818400    
Average values:
	4677794   	136086    	9322      	207       	2034713   
