Sergiy Kolodyazhnyy
User Input: 1 2 3 4 5 6 
Game# Rolls      Match 3    Match 4    Match 5    Payout    
1 : 1977719    57462      3853       113        880270    
2 : 6709592    196187     13332      279        2907470   
3 : 6710903    194833     13439      295        2915280   
4 : 1231459    35975      2374       59         537450    
5 : 2181310    63020      4292       113        957800    
6 : 3271799    95159      6508       161        1437990   
7 : 414667     12167      810        20         182170    
8 : 2473558    71843      4838       122        1082330   
9 : 1479439    42990      3023       75         656050    
10: 3014240    87952      6009       120        1299970   
Average values:
	2946468   	85758     	5847      	135       	1285678   
